Fiscal Year,State_Abbr,FIPS,State/Territory,Case and Procedural Error Rates,Source_Document
2023,AL,01,Alabama,32.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,AK,02,Alaska,87.1,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,AZ,04,Arizona,29.92,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,AR,05,Arkansas,68.09,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,CA,06,California,39.94,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,CO,08,Colorado,40.55,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,CT,09,Connecticut,37.29,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,DE,10,Delaware,83.93,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,DC,11,District of Columbia,58.79,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,FL,12,Florida,62.96,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,GA,13,Georgia,82.4,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,GU,66,Guam,77.97,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,HI,15,Hawaii,61.69,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,ID,16,Idaho,16.5,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,IL,17,Illinois,47.34,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,IN,18,Indiana,38.8,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,IA,19,Iowa,33.18,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,KS,20,Kansas,49.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,KY,21,Kentucky,64,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,LA,22,Louisiana,23.88,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,ME,23,Maine,53.41,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,MD,24,Maryland,43.63,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,MA,25,Massachusetts,23.1,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,MI,26,Michigan,51.27,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,MN,27,Minnesota,25.18,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,MS,28,Mississippi,50.98,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,MO,29,Missouri,17.2,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,MT,30,Montana,31.03,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,NE,31,Nebraska,12.77,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,NV,32,Nevada,36.95,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,NH,33,New Hampshire,55.84,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,NJ,34,New Jersey,41.03,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,NM,35,New Mexico,70.29,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,NY,36,New York,47.15,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,NC,37,North Carolina,38.65,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,ND,38,North Dakota,57.77,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,OH,39,Ohio,40.82,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,OK,40,Oklahoma,31.44,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,OR,41,Oregon,38.86,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,PA,42,Pennsylvania,29.42,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,RI,44,Rhode Island,55.41,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,SC,45,South Carolina,80.88,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,SD,46,South Dakota,9.34,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,TN,47,Tennessee,37.41,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,TX,48,Texas,50.28,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,UT,49,Utah,28.33,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,VT,50,Vermont,26.1,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,VI,78,Virgin Islands,68.72,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,VA,51,Virginia,45.83,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,WA,53,Washington,26.69,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,WV,54,West Virginia,28.66,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,WI,55,Wisconsin,21.84,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2023,WY,56,Wyoming,17.72,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy23.pdf
2022,AL,01,Alabama,32.53,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,AK,02,Alaska,56.08,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,AZ,04,Arizona,35.92,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,AR,05,Arkansas,54.85,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,CA,06,California,39.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,CO,08,Colorado,39.12,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,CT,09,Connecticut,34.43,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,DE,10,Delaware,76.27,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,DC,11,District of Columbia,80.46,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,FL,12,Florida,51.71,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,GA,13,Georgia,74.82,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,GU,66,Guam,61.34,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,HI,15,Hawaii,58.15,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,ID,16,Idaho,11.03,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,IL,17,Illinois,45.53,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,IN,18,Indiana,39.03,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,IA,19,Iowa,29.65,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,KS,20,Kansas,35.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,KY,21,Kentucky,79.67,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,LA,22,Louisiana,58.57,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,ME,23,Maine,48.42,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,MD,24,Maryland,55.48,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,MA,25,Massachusetts,23.55,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,MI,26,Michigan,47.08,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,MN,27,Minnesota,31.79,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,MS,28,Mississippi,47.32,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,MO,29,Missouri,16.74,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,MT,30,Montana,44.54,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,NE,31,Nebraska,13.96,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,NV,32,Nevada,28.72,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,NH,33,New Hampshire,46.12,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,NJ,34,New Jersey,47.71,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,NM,35,New Mexico,45.34,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,NY,36,New York,45.26,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,NC,37,North Carolina,35.83,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,ND,38,North Dakota,34.1,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,OH,39,Ohio,34.76,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,OK,40,Oklahoma,26.28,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,OR,41,Oregon,46.03,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,PA,42,Pennsylvania,38.59,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,RI,44,Rhode Island,41.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,SC,45,South Carolina,79.63,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,SD,46,South Dakota,8.41,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,TN,47,Tennessee,29.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,TX,48,Texas,44.31,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,UT,49,Utah,24.58,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,VT,50,Vermont,33.03,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,VI,78,Virgin Islands,41.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,VA,51,Virginia,47.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,WA,53,Washington,29.65,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,WV,54,West Virginia,28.95,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,WI,55,Wisconsin,33.34,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,WY,56,Wyoming,11.05,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2019,AL,01,Alabama,43.66,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,AK,02,Alaska,38.98,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,AZ,04,Arizona,32.7,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,AR,05,Arkansas,28.64,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,CA,06,California,34.3,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,CO,08,Colorado,27.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,CT,09,Connecticut,58.14,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,DE,10,Delaware,26.14,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,DC,11,District of Columbia,61.73,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,FL,12,Florida,20.43,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,GA,13,Georgia,87.42,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,GU,66,Guam,74.88,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,HI,15,Hawaii,36.76,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,ID,16,Idaho,9.08,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,IL,17,Illinois,51.43,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,IN,18,Indiana,42.43,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,IA,19,Iowa,19.49,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,KS,20,Kansas,33.42,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,KY,21,Kentucky,57.62,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,LA,22,Louisiana,34.74,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,ME,23,Maine,64.24,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MD,24,Maryland,28.39,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MA,25,Massachusetts,36.8,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MI,26,Michigan,36.05,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MN,27,Minnesota,48.96,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MS,28,Mississippi,46.27,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MO,29,Missouri,13.49,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MT,30,Montana,30.39,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NE,31,Nebraska,17.27,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NV,32,Nevada,35.5,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NH,33,New Hampshire,30.96,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NJ,34,New Jersey,37.64,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NM,35,New Mexico,15.32,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NY,36,New York,37.64,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NC,37,North Carolina,41.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,ND,38,North Dakota,25.09,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,OH,39,Ohio,49.21,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,OK,40,Oklahoma,15.1,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,OR,41,Oregon,25.77,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,PA,42,Pennsylvania,23.8,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,RI,44,Rhode Island,58.11,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,SC,45,South Carolina,13.96,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,SD,46,South Dakota,5.04,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,TN,47,Tennessee,23.4,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,TX,48,Texas,33.54,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,UT,49,Utah,23.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,VT,50,Vermont,26.14,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,VI,78,Virgin Islands,15.3,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,VA,51,Virginia,35.81,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,WA,53,Washington,16.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,WV,54,West Virginia,18.83,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,WI,55,Wisconsin,30.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,WY,56,Wyoming,14.61,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
